"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"4869f7a5dfa277a7dca6462dcf3b52b2",247007.06000000006,"1148","1015","88.41","4.12"
"7c67e1448b00f6e969d365cea6b010ab",237806.68999999983,"1355","1225","90.41","3.35"
"4a3ca9315b744ce9f8e9374361493884",231220.43000000055,"1949","1735","89.02","3.81"
"53243585a1d6dc2643021fd1853d8905",230797.0200000003,"400","384","96.00","4.08"
"fa1c13f2614d7b5c4749cbc52fecda94",200833.4999999998,"579","520","89.81","4.34"
"da8622b14eb17ae2831f4ac5b9dab84a",184706.7799999997,"1548","1435","92.70","4.07"
"7e93a43ef30c4f03f38b393420bc753a",171973.55000000008,"322","304","94.41","4.21"
"1025f0e2d44d7041d6cf58b6550e0bfa",171924.96000000005,"1420","1289","90.77","3.87"
"7a67c85e85bb2ce8582c35f2203ad736",160278.52,"1155","1087","94.11","4.23"
"955fee9216a65b617aa5c0531780ce60",156606.47999999966,"1472","1353","91.92","4.05"
"6560211a19b47992c3666cc44a7e94c0",148050.94000000047,"1996","1872","93.79","3.91"
"1f50f920176fa81dab994f9023523100",141712.94000000067,"1926","1744","90.55","3.98"
"46dc3b2cc0980fb8ec44634e21d2718e",134162.87999999983,"523","490","93.69","4.18"
"a1043bafd471dff536d0c462352beb48",130412.74000000008,"752","710","94.41","4.19"
"620c87c171fb2a6dd6e8bb4dec959fc6",126278.18000000005,"778","704","90.49","4.21"
"cc419e0650a3c5ba77189a1882b7556a",125936.98999999953,"1719","1616","94.01","4.07"
"5dceca129747e92ff8ef7a997dc4f8ca",124702.92,"343","323","94.17","3.99"
"7d13fca15225358621be4086e1eb0964",120934.46999999967,"571","503","88.09","4.00"
"3d871de0142ce09b7081e2b9d1733cb1",115515.65000000039,"1131","1064","94.08","4.12"
"edb1ef5e36e0c8cd84eb3c9b003e486d",83031.14000000003,"174","161","92.53","4.43"
"ccc4bbb5f32a6ab2b7066a4130f114e3",78101.33999999991,"189","175","92.59","4.28"
"cca3071e3e9bb7d12640c9fbe2301306",77188.54999999999,"817","773","94.61","3.86"
"8581055ce74af1daba164fdbd55a40de",73473.98000000003,"427","384","89.93","4.22"
"f7ba60f8c3f99e7ee4042fdef03b70c4",72387.94000000006,"229","191","83.41","4.21"
"fe2032dab1a61af8794248c8196565c9",70400.60000000005,"305","279","91.48","4.40"
"de722cd6dad950a92b7d4f82673f8833",64776.589999999975,"377","362","96.02","4.16"
"f8db351d8c4c4c22c6835c19a46f01b0",62487.01999999989,"714","672","94.12","4.22"
"7ddcbb64b5bc1ef36ca8c151f6ec77df",62202.749999999985,"334","306","91.62","3.91"
"04308b1ee57b6625f47df1d56f00eedf",61940.61999999997,"92","81","88.04","3.91"
"522620dcb18a6b31cd7bdf73665113a9",61273.65999999999,"178","160","89.89","3.91"
"218d46b86c1881d022bce9c68a7d4b15",61162.940000000024,"420","382","90.95","4.13"
"25c5c91f63607446a97b143d2d535d31",61154.699999999946,"266","250","93.98","3.70"
"37be5a7c751166fbc5f8ccba4119e043",60756.7599999999,"278","271","97.48","4.30"
"17e34d8224d27a541263c4c64b11a56b",59530.490000000005,"260","239","91.92","4.14"
"17f51e7198701186712e53a39c564617",57812.43000000001,"61","56","91.80","4.34"
"ceaec5548eefc6e23e6607c5435102e7",57653.72999999998,"206","194","94.17","4.15"
"b2ba3715d723d245138f291a6fe42594",55596.64999999997,"350","320","91.43","4.11"
"f5a590cf36251cf1162ea35bef76fe84",55366.96000000003,"118","106","89.83","4.24"
"8160255418d5aaa7dbdc9f4c64ebda44",54095.680000000066,"424","348","82.08","3.84"
"ea8482cd71df3c1969d7b9473ff13abc",53988.62999999938,"1188","1065","89.65","3.95"
"77530e9772f57a62c906e1c21538ab82",53951.31000000004,"381","337","88.45","4.05"
"e882b2a25a10b9c057cc49695f222c19",53913.759999999995,"58","58","100.00","4.59"
"4e922959ae960d389249c378d1c939f5",52485.599999999904,"446","398","89.24","3.90"
"e9779976487b77c6d4ac45f75ec7afe9",52211.299999999916,"738","683","92.55","4.16"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f",51629.49,"31","28","90.32","4.19"
"4d6d651bd7684af3fffabd5f08d12e5a",50785.75999999989,"389","371","95.37","4.18"
